10471,5574609102191232,American Express,09/20
12064,4826183634369914,Discover Card,04/20
14733,6011692890263336,Visa,10/19
19385,5509738686598672,MasterCard,11/19
21794,4539870549616,MasterCard,10/21
23125,4493355713102943,MasterCard,01/22
31364,4024007141500,MasterCard,09/19
35205,4341844761550527,MasterCard,02/20
42183,4929351826954943,MasterCard,08/21
46397,5278849315717146,Visa,12/19
52375,4916179792194957,Visa,07/20
54794,5403696797648987,MasterCard,09/21
62072,6011889327885805,Discover Card,07/20
62119,5108394974110647,Visa,10/21
64482,6011280005108459,Visa,07/20
64546,4716608733012647,Visa,04/21
67467,4929476027556621,MasterCard,10/20
68103,4532982943072286,MasterCard,08/21
70955,4539396553113,American Express,08/21
71404,5300520130707872,MasterCard,12/20
81240,5402301918251213,Visa,12/19
81826,340455662325964,MasterCard,09/21
83261,5504579592094940,Visa,10/20
85061,4916134040125,MasterCard,09/21
85507,5387605662384740,MasterCard,12/19
87423,4916966339457,Discover Card,01/21
94691,4556815255682409,Visa,06/20
96480,5142927524182500,MasterCard,09/21
99227,376910579111721,Discover Card,08/19
99650,5507694414895665,Visa,10/21
